"value","adm1","adm2","adm2_code","year","unit","type","class1","class2"
8870,"Jeollabuk-do","Sunchang-gun",35560,2020,"million KRW","tax","income","labor"
132432,"Jeollabuk-do","Wanju-gun",35510,2020,"million KRW","tax","income","labor"
125815,"Jeollabuk-do","Iksan-si",35030,2020,"million KRW","tax","income","labor"
10624,"Jeollabuk-do","Imsil-gun",35550,2020,"million KRW","tax","income","labor"
6776,"Jeollabuk-do","Jangsu-gun",35540,2020,"million KRW","tax","income","labor"
320014,"Jeollabuk-do","Jeonju-si",35010,2020,"million KRW","tax","income","labor"
41830,"Jeollabuk-do","Jeongeup-si",35040,2020,"million KRW","tax","income","labor"
8894,"Jeollabuk-do","Jinan-gun",35520,2020,"million KRW","tax","income","labor"
11087,"Jeollanam-do","Gangjin-gun",36590,2020,"million KRW","tax","income","labor"
15869,"Jeollanam-do","Goheung-gun",36550,2020,"million KRW","tax","income","labor"
9225,"Jeollanam-do","Gokseong-gun",36520,2020,"million KRW","tax","income","labor"
111802,"Jeollanam-do","Gwangyang-si",36060,2020,"million KRW","tax","income","labor"
6634,"Jeollanam-do","Gurye-gun",36530,2020,"million KRW","tax","income","labor"
281419,"Jeollanam-do","Naju-si",36040,2020,"million KRW","tax","income","labor"
29207,"Jeollanam-do","Damyang-gun",36510,2020,"million KRW","tax","income","labor"
70243,"Jeollanam-do","Mokpo-si",36010,2020,"million KRW","tax","income","labor"
79307,"Jeollanam-do","Muan-gun",36620,2020,"million KRW","tax","income","labor"
12921,"Jeollanam-do","Boseong-gun",36560,2020,"million KRW","tax","income","labor"
101026,"Jeollanam-do","Suncheon-si",36030,2020,"million KRW","tax","income","labor"
8609,"Jeollanam-do","Sinan-gun",36680,2020,"million KRW","tax","income","labor"
272427,"Jeollanam-do","Yeosu-si",36020,2020,"million KRW","tax","income","labor"
39306,"Jeollanam-do","Yeonggwang-gun",36640,2020,"million KRW","tax","income","labor"
58773,"Jeollanam-do","Yeongam-gun",36610,2020,"million KRW","tax","income","labor"
11432,"Jeollanam-do","Wando-gun",36660,2020,"million KRW","tax","income","labor"
27433,"Jeollanam-do","Jangseong-gun",36650,2020,"million KRW","tax","income","labor"
22802,"Jeollanam-do","Jangheung-gun",36580,2020,"million KRW","tax","income","labor"
7133,"Jeollanam-do","Jindo-gun",36670,2020,"million KRW","tax","income","labor"
15727,"Jeollanam-do","Hampyeong-gun",36630,2020,"million KRW","tax","income","labor"
23615,"Jeollanam-do","Haenam-gun",36600,2020,"million KRW","tax","income","labor"
43679,"Jeollanam-do","Hwasun-gun",36570,2020,"million KRW","tax","income","labor"
53383,"Daegu","Nam-gu",22040,2020,"million KRW","tax","income","labor"
317299,"Daegu","Dalseo-gu",22070,2020,"million KRW","tax","income","labor"
169345,"Daegu","Dalseong-gun",22510,2020,"million KRW","tax","income","labor"
153585,"Daegu","Dong-gu",22020,2020,"million KRW","tax","income","labor"
172915,"Daegu","Buk-gu",22050,2020,"million KRW","tax","income","labor"
73454,"Daegu","Seo-gu",22030,2020,"million KRW","tax","income","labor"
201108,"Daegu","Suseong-gu",22060,2020,"million KRW","tax","income","labor"
126759,"Daegu","Jung-gu",22010,2020,"million KRW","tax","income","labor"
167585,"Gyeongsangbuk-do","Gyeongsan-si",37100,2020,"million KRW","tax","income","labor"
232740,"Gyeongsangbuk-do","Gyeongju-si",37020,2020,"million KRW","tax","income","labor"
28343,"Gyeongsangbuk-do","Goryeong-gun",37570,2020,"million KRW","tax","income","labor"
341348,"Gyeongsangbuk-do","Gumi-si",37050,2020,"million KRW","tax","income","labor"
10506,"Daegu","Gunwi-gun",22520,2020,"million KRW","tax","income","labor"
117466,"Gyeongsangbuk-do","Gimcheon-si",37030,2020,"million KRW","tax","income","labor"
21664,"Gyeongsangbuk-do","Mungyeong-si",37090,2020,"million KRW","tax","income","labor"
9894,"Gyeongsangbuk-do","Bonghwa-gun",37610,2020,"million KRW","tax","income","labor"
28571,"Gyeongsangbuk-do","Sangju-si",37080,2020,"million KRW","tax","income","labor"
27781,"Gyeongsangbuk-do","Seongju-gun",37580,2020,"million KRW","tax","income","labor"
114624,"Gyeongsangbuk-do","Andong-si",37040,2020,"million KRW","tax","income","labor"
9913,"Gyeongsangbuk-do","Yeongdeok-gun",37550,2020,"million KRW","tax","income","labor"
4828,"Gyeongsangbuk-do","Yeongyang-gun",37540,2020,"million KRW","tax","income","labor"
47165,"Gyeongsangbuk-do","Yeongju-si",37060,2020,"million KRW","tax","income","labor"
69427,"Gyeongsangbuk-do","Yeongcheon-si",37070,2020,"million KRW","tax","income","labor"
13244,"Gyeongsangbuk-do","Yecheon-gun",37600,2020,"million KRW","tax","income","labor"
2976,"Gyeongsangbuk-do","Ulleung-gun",37630,2020,"million KRW","tax","income","labor"
36851,"Gyeongsangbuk-do","Uljin-gun",37620,2020,"million KRW","tax","income","labor"
13769,"Gyeongsangbuk-do","Uiseong-gun",37520,2020,"million KRW","tax","income","labor"
15315,"Gyeongsangbuk-do","Cheongdo-gun",37560,2020,"million KRW","tax","income","labor"
7474,"Gyeongsangbuk-do","Cheongsong-gun",37530,2020,"million KRW","tax","income","labor"
66600,"Gyeongsangbuk-do","Chilgok-gun",37590,2020,"million KRW","tax","income","labor"
665710,"Gyeongsangbuk-do","Pohang-si",37010,2020,"million KRW","tax","income","labor"
257015,"Busan","Gangseo-gu",21120,2020,"million KRW","tax","income","labor"
105391,"Busan","Geumjeong-gu",21110,2020,"million KRW","tax","income","labor"
120754,"Busan","Gijang-gun",21510,2020,"million KRW","tax","income","labor"
211666,"Busan","Nam-gu",21070,2020,"million KRW","tax","income","labor"
89706,"Busan","Dong-gu",21030,2020,"million KRW","tax","income","labor"
120202,"Busan","Dongnae-gu",21060,2020,"million KRW","tax","income","labor"
242571,"Busan","Busanjin-gu",21050,2020,"million KRW","tax","income","labor"
61338,"Busan","Buk-gu",21080,2020,"million KRW","tax","income","labor"
148748,"Busan","Sasang-gu",21150,2020,"million KRW","tax","income","labor"
153971,"Busan","Saha-gu",21100,2020,"million KRW","tax","income","labor"
74265,"Busan","Seo-gu",21020,2020,"million KRW","tax","income","labor"
65844,"Busan","Suyeong-gu",21140,2020,"million KRW","tax","income","labor"
153777,"Busan","Yeonje-gu",21130,2020,"million KRW","tax","income","labor"
65118,"Busan","Yeongdo-gu",21040,2020,"million KRW","tax","income","labor"
129677,"Busan","Jung-gu",21010,2020,"million KRW","tax","income","labor"
219082,"Busan","Haeundae-gu",21090,2020,"million KRW","tax","income","labor"
364080,"Ulsan","Nam-gu",26020,2020,"million KRW","tax","income","labor"
183819,"Ulsan","Dong-gu",26030,2020,"million KRW","tax","income","labor"
480836,"Ulsan","Buk-gu",26040,2020,"million KRW","tax","income","labor"
239301,"Ulsan","Ulju-gun",26510,2020,"million KRW","tax","income","labor"
105264,"Ulsan","Jung-gu",26010,2020,"million KRW","tax","income","labor"
152470,"Gyeongsangnam-do","Geoje-si",38090,2020,"million KRW","tax","income","labor"
19342,"Gyeongsangnam-do","Geochang-gun",38590,2020,"million KRW","tax","income","labor"
32359,"Gyeongsangnam-do","Goseong-gun",38540,2020,"million KRW","tax","income","labor"
319880,"Gyeongsangnam-do","Gimhae-si",38070,2020,"million KRW","tax","income","labor"
9949,"Gyeongsangnam-do","Namhae-gun",38550,2020,"million KRW","tax","income","labor"
53254,"Gyeongsangnam-do","Miryang-si",38080,2020,"million KRW","tax","income","labor"
120359,"Gyeongsangnam-do","Sacheon-si",38060,2020,"million KRW","tax","income","labor"
13249,"Gyeongsangnam-do","Sancheong-gun",38570,2020,"million KRW","tax","income","labor"
228245,"Gyeongsangnam-do","Yangsan-si",38100,2020,"million KRW","tax","income","labor"
11197,"Gyeongsangnam-do","Uiryeong-gun",38510,2020,"million KRW","tax","income","labor"
188858,"Gyeongsangnam-do","Jinju-si",38030,2020,"million KRW","tax","income","labor"
28169,"Gyeongsangnam-do","Changnyeong-gun",38530,2020,"million KRW","tax","income","labor"
899025,"Gyeongsangnam-do","Changwon-si",38110,2020,"million KRW","tax","income","labor"
30637,"Gyeongsangnam-do","Tongyeong-si",38050,2020,"million KRW","tax","income","labor"
18829,"Gyeongsangnam-do","Hadong-gun",38560,2020,"million KRW","tax","income","labor"
69912,"Gyeongsangnam-do","Haman-gun",38520,2020,"million KRW","tax","income","labor"
11294,"Gyeongsangnam-do","Hamyang-gun",38580,2020,"million KRW","tax","income","labor"
15354,"Gyeongsangnam-do","Hapcheon-gun",38600,2020,"million KRW","tax","income","labor"
347515,"Jeju-do","Jeju-si",39010,2020,"million KRW","tax","income","labor"
65598,"Jeju-do","Seogwipo-si",39020,2020,"million KRW","tax","income","labor"
