"adm2_code","class2","class1","type","year","unit","value","adm1","adm2"
11170,"female","All causes","mortality",2020,"per 100k population",173.8,"Seoul","Guro-gu"
11180,"total","All causes","mortality",2020,"per 100k population",296.5,"Seoul","Geumcheon-gu"
11180,"male","All causes","mortality",2020,"per 100k population",406.2,"Seoul","Geumcheon-gu"
11180,"female","All causes","mortality",2020,"per 100k population",200.3,"Seoul","Geumcheon-gu"
11190,"total","All causes","mortality",2020,"per 100k population",254.9,"Seoul","Yeongdeungpo-gu"
11190,"male","All causes","mortality",2020,"per 100k population",337.5,"Seoul","Yeongdeungpo-gu"
11190,"female","All causes","mortality",2020,"per 100k population",182,"Seoul","Yeongdeungpo-gu"
11200,"total","All causes","mortality",2020,"per 100k population",236.1,"Seoul","Dongjak-gu"
11200,"male","All causes","mortality",2020,"per 100k population",329.1,"Seoul","Dongjak-gu"
11200,"female","All causes","mortality",2020,"per 100k population",162.5,"Seoul","Dongjak-gu"
11210,"total","All causes","mortality",2020,"per 100k population",281.5,"Seoul","Gwanak-gu"
11210,"male","All causes","mortality",2020,"per 100k population",377.6,"Seoul","Gwanak-gu"
11210,"female","All causes","mortality",2020,"per 100k population",198.4,"Seoul","Gwanak-gu"
11220,"total","All causes","mortality",2020,"per 100k population",197.9,"Seoul","Seocho-gu"
11220,"male","All causes","mortality",2020,"per 100k population",254.9,"Seoul","Seocho-gu"
11220,"female","All causes","mortality",2020,"per 100k population",150.5,"Seoul","Seocho-gu"
11230,"total","All causes","mortality",2020,"per 100k population",217.1,"Seoul","Gangnam-gu"
11230,"male","All causes","mortality",2020,"per 100k population",264.9,"Seoul","Gangnam-gu"
11230,"female","All causes","mortality",2020,"per 100k population",174.8,"Seoul","Gangnam-gu"
11240,"total","All causes","mortality",2020,"per 100k population",229.1,"Seoul","Songpa-gu"
11240,"male","All causes","mortality",2020,"per 100k population",297.7,"Seoul","Songpa-gu"
11240,"female","All causes","mortality",2020,"per 100k population",170.8,"Seoul","Songpa-gu"
11250,"total","All causes","mortality",2020,"per 100k population",266.9,"Seoul","Gangdong-gu"
11250,"male","All causes","mortality",2020,"per 100k population",349.1,"Seoul","Gangdong-gu"
11250,"female","All causes","mortality",2020,"per 100k population",194.6,"Seoul","Gangdong-gu"
21010,"total","All causes","mortality",2020,"per 100k population",397.9,"Busan","Jung-gu"
21010,"male","All causes","mortality",2020,"per 100k population",565,"Busan","Jung-gu"
21010,"female","All causes","mortality",2020,"per 100k population",258.4,"Busan","Jung-gu"
21020,"total","All causes","mortality",2020,"per 100k population",395.3,"Busan","Seo-gu"
21020,"male","All causes","mortality",2020,"per 100k population",573.7,"Busan","Seo-gu"
21020,"female","All causes","mortality",2020,"per 100k population",249.3,"Busan","Seo-gu"
21030,"total","All causes","mortality",2020,"per 100k population",372.1,"Busan","Dong-gu"
21030,"male","All causes","mortality",2020,"per 100k population",537.5,"Busan","Dong-gu"
21030,"female","All causes","mortality",2020,"per 100k population",231.8,"Busan","Dong-gu"
21040,"total","All causes","mortality",2020,"per 100k population",403.9,"Busan","Yeongdo-gu"
21040,"male","All causes","mortality",2020,"per 100k population",534.6,"Busan","Yeongdo-gu"
21040,"female","All causes","mortality",2020,"per 100k population",293.7,"Busan","Yeongdo-gu"
21050,"total","All causes","mortality",2020,"per 100k population",332.1,"Busan","Busanjin-gu"
21050,"male","All causes","mortality",2020,"per 100k population",456.1,"Busan","Busanjin-gu"
21050,"female","All causes","mortality",2020,"per 100k population",233.7,"Busan","Busanjin-gu"
21060,"total","All causes","mortality",2020,"per 100k population",297.4,"Busan","Dongnae-gu"
21060,"male","All causes","mortality",2020,"per 100k population",397.3,"Busan","Dongnae-gu"
21060,"female","All causes","mortality",2020,"per 100k population",214.9,"Busan","Dongnae-gu"
21070,"total","All causes","mortality",2020,"per 100k population",310.7,"Busan","Nam-gu"
21070,"male","All causes","mortality",2020,"per 100k population",419.4,"Busan","Nam-gu"
21070,"female","All causes","mortality",2020,"per 100k population",220.8,"Busan","Nam-gu"
21080,"total","All causes","mortality",2020,"per 100k population",318.8,"Busan","Buk-gu"
21080,"male","All causes","mortality",2020,"per 100k population",423.3,"Busan","Buk-gu"
21080,"female","All causes","mortality",2020,"per 100k population",234.5,"Busan","Buk-gu"
21090,"total","All causes","mortality",2020,"per 100k population",302.2,"Busan","Haeundae-gu"
21090,"male","All causes","mortality",2020,"per 100k population",413.3,"Busan","Haeundae-gu"
21090,"female","All causes","mortality",2020,"per 100k population",216,"Busan","Haeundae-gu"
21100,"total","All causes","mortality",2020,"per 100k population",341.9,"Busan","Saha-gu"
21100,"male","All causes","mortality",2020,"per 100k population",448.4,"Busan","Saha-gu"
21100,"female","All causes","mortality",2020,"per 100k population",251.8,"Busan","Saha-gu"
21110,"total","All causes","mortality",2020,"per 100k population",321.5,"Busan","Geumjeong-gu"
21110,"male","All causes","mortality",2020,"per 100k population",443.3,"Busan","Geumjeong-gu"
21110,"female","All causes","mortality",2020,"per 100k population",220.3,"Busan","Geumjeong-gu"
21120,"total","All causes","mortality",2020,"per 100k population",289.9,"Busan","Gangseo-gu"
21120,"male","All causes","mortality",2020,"per 100k population",375.3,"Busan","Gangseo-gu"
21120,"female","All causes","mortality",2020,"per 100k population",208.4,"Busan","Gangseo-gu"
21130,"total","All causes","mortality",2020,"per 100k population",296.6,"Busan","Yeonje-gu"
21130,"male","All causes","mortality",2020,"per 100k population",408.7,"Busan","Yeonje-gu"
21130,"female","All causes","mortality",2020,"per 100k population",206.5,"Busan","Yeonje-gu"
21140,"total","All causes","mortality",2020,"per 100k population",294.3,"Busan","Suyeong-gu"
21140,"male","All causes","mortality",2020,"per 100k population",407,"Busan","Suyeong-gu"
21140,"female","All causes","mortality",2020,"per 100k population",206.8,"Busan","Suyeong-gu"
21150,"total","All causes","mortality",2020,"per 100k population",363.3,"Busan","Sasang-gu"
21150,"male","All causes","mortality",2020,"per 100k population",511,"Busan","Sasang-gu"
21150,"female","All causes","mortality",2020,"per 100k population",238,"Busan","Sasang-gu"
21510,"total","All causes","mortality",2020,"per 100k population",328.9,"Busan","Gijang-gun"
21510,"male","All causes","mortality",2020,"per 100k population",413.4,"Busan","Gijang-gun"
21510,"female","All causes","mortality",2020,"per 100k population",258.5,"Busan","Gijang-gun"
22010,"total","All causes","mortality",2020,"per 100k population",310.7,"Daegu","Jung-gu"
22010,"male","All causes","mortality",2020,"per 100k population",444.5,"Daegu","Jung-gu"
22010,"female","All causes","mortality",2020,"per 100k population",206.5,"Daegu","Jung-gu"
22020,"total","All causes","mortality",2020,"per 100k population",305.5,"Daegu","Dong-gu"
22020,"male","All causes","mortality",2020,"per 100k population",412.3,"Daegu","Dong-gu"
22020,"female","All causes","mortality",2020,"per 100k population",220.9,"Daegu","Dong-gu"
22030,"total","All causes","mortality",2020,"per 100k population",365.4,"Daegu","Seo-gu"
22030,"male","All causes","mortality",2020,"per 100k population",514.3,"Daegu","Seo-gu"
22030,"female","All causes","mortality",2020,"per 100k population",246.2,"Daegu","Seo-gu"
22040,"total","All causes","mortality",2020,"per 100k population",325.1,"Daegu","Nam-gu"
22040,"male","All causes","mortality",2020,"per 100k population",438.6,"Daegu","Nam-gu"
22040,"female","All causes","mortality",2020,"per 100k population",232.7,"Daegu","Nam-gu"
22050,"total","All causes","mortality",2020,"per 100k population",300,"Daegu","Buk-gu"
22050,"male","All causes","mortality",2020,"per 100k population",408.5,"Daegu","Buk-gu"
22050,"female","All causes","mortality",2020,"per 100k population",210.3,"Daegu","Buk-gu"
22060,"total","All causes","mortality",2020,"per 100k population",268.6,"Daegu","Suseong-gu"
22060,"male","All causes","mortality",2020,"per 100k population",360.9,"Daegu","Suseong-gu"
22060,"female","All causes","mortality",2020,"per 100k population",197.3,"Daegu","Suseong-gu"
22070,"total","All causes","mortality",2020,"per 100k population",297.8,"Daegu","Dalseo-gu"
22070,"male","All causes","mortality",2020,"per 100k population",407,"Daegu","Dalseo-gu"
22070,"female","All causes","mortality",2020,"per 100k population",211.9,"Daegu","Dalseo-gu"
22510,"total","All causes","mortality",2020,"per 100k population",313.2,"Daegu","Dalseong-gun"
22510,"male","All causes","mortality",2020,"per 100k population",419.2,"Daegu","Dalseong-gun"
22510,"female","All causes","mortality",2020,"per 100k population",232.4,"Daegu","Dalseong-gun"
22520,"total","All causes","mortality",2020,"per 100k population",390.7,"Daegu","Gunwi-gun"
22520,"male","All causes","mortality",2020,"per 100k population",507.5,"Daegu","Gunwi-gun"
22520,"female","All causes","mortality",2020,"per 100k population",275.2,"Daegu","Gunwi-gun"
23010,"total","All causes","mortality",2020,"per 100k population",309.2,"Incheon","Jung-gu"
23010,"male","All causes","mortality",2020,"per 100k population",408,"Incheon","Jung-gu"
23010,"female","All causes","mortality",2020,"per 100k population",223.5,"Incheon","Jung-gu"
23020,"total","All causes","mortality",2020,"per 100k population",336.4,"Incheon","Dong-gu"
23020,"male","All causes","mortality",2020,"per 100k population",482.7,"Incheon","Dong-gu"
23020,"female","All causes","mortality",2020,"per 100k population",210.5,"Incheon","Dong-gu"
23040,"total","All causes","mortality",2020,"per 100k population",267,"Incheon","Yeonsu-gu"
23040,"male","All causes","mortality",2020,"per 100k population",348.1,"Incheon","Yeonsu-gu"
23040,"female","All causes","mortality",2020,"per 100k population",202.9,"Incheon","Yeonsu-gu"
23050,"total","All causes","mortality",2020,"per 100k population",323.2,"Incheon","Namdong-gu"
23050,"male","All causes","mortality",2020,"per 100k population",432.5,"Incheon","Namdong-gu"
23050,"female","All causes","mortality",2020,"per 100k population",233,"Incheon","Namdong-gu"
23060,"total","All causes","mortality",2020,"per 100k population",321.8,"Incheon","Bupyeong-gu"
23060,"male","All causes","mortality",2020,"per 100k population",441.8,"Incheon","Bupyeong-gu"
23060,"female","All causes","mortality",2020,"per 100k population",224.8,"Incheon","Bupyeong-gu"
23070,"total","All causes","mortality",2020,"per 100k population",300.3,"Incheon","Gyeyang-gu"
23070,"male","All causes","mortality",2020,"per 100k population",413.3,"Incheon","Gyeyang-gu"
23070,"female","All causes","mortality",2020,"per 100k population",210.5,"Incheon","Gyeyang-gu"
23080,"total","All causes","mortality",2020,"per 100k population",304.8,"Incheon","Seo-gu"
23080,"male","All causes","mortality",2020,"per 100k population",414.5,"Incheon","Seo-gu"
23080,"female","All causes","mortality",2020,"per 100k population",213.3,"Incheon","Seo-gu"
23090,"total","All causes","mortality",2020,"per 100k population",348.7,"Incheon","Michuhol-gu"
23090,"male","All causes","mortality",2020,"per 100k population",473.2,"Incheon","Michuhol-gu"
23090,"female","All causes","mortality",2020,"per 100k population",242.3,"Incheon","Michuhol-gu"
23510,"total","All causes","mortality",2020,"per 100k population",312.9,"Incheon","Ganghwa-gun"
23510,"male","All causes","mortality",2020,"per 100k population",414,"Incheon","Ganghwa-gun"
23510,"female","All causes","mortality",2020,"per 100k population",218.4,"Incheon","Ganghwa-gun"
23520,"total","All causes","mortality",2020,"per 100k population",381.8,"Incheon","Ongjin-gun"
23520,"male","All causes","mortality",2020,"per 100k population",468.4,"Incheon","Ongjin-gun"
23520,"female","All causes","mortality",2020,"per 100k population",303.4,"Incheon","Ongjin-gun"
24010,"total","All causes","mortality",2020,"per 100k population",320.8,"Gwangju","Dong-gu"
24010,"male","All causes","mortality",2020,"per 100k population",424.8,"Gwangju","Dong-gu"
24010,"female","All causes","mortality",2020,"per 100k population",231.4,"Gwangju","Dong-gu"
24020,"total","All causes","mortality",2020,"per 100k population",295.2,"Gwangju","Seo-gu"
24020,"male","All causes","mortality",2020,"per 100k population",404.8,"Gwangju","Seo-gu"
24020,"female","All causes","mortality",2020,"per 100k population",206.6,"Gwangju","Seo-gu"
24030,"total","All causes","mortality",2020,"per 100k population",291.2,"Gwangju","Nam-gu"
24030,"male","All causes","mortality",2020,"per 100k population",394.6,"Gwangju","Nam-gu"
24030,"female","All causes","mortality",2020,"per 100k population",210.9,"Gwangju","Nam-gu"
24040,"total","All causes","mortality",2020,"per 100k population",312.4,"Gwangju","Buk-gu"
24040,"male","All causes","mortality",2020,"per 100k population",426,"Gwangju","Buk-gu"
24040,"female","All causes","mortality",2020,"per 100k population",218.7,"Gwangju","Buk-gu"
24050,"total","All causes","mortality",2020,"per 100k population",328.1,"Gwangju","Gwangsan-gu"
24050,"male","All causes","mortality",2020,"per 100k population",427.8,"Gwangju","Gwangsan-gu"
24050,"female","All causes","mortality",2020,"per 100k population",249.1,"Gwangju","Gwangsan-gu"
25010,"total","All causes","mortality",2020,"per 100k population",340.6,"Daejeon","Dong-gu"
25010,"male","All causes","mortality",2020,"per 100k population",444.9,"Daejeon","Dong-gu"
25010,"female","All causes","mortality",2020,"per 100k population",250.7,"Daejeon","Dong-gu"
25020,"total","All causes","mortality",2020,"per 100k population",321.9,"Daejeon","Jung-gu"
25020,"male","All causes","mortality",2020,"per 100k population",438.6,"Daejeon","Jung-gu"
25020,"female","All causes","mortality",2020,"per 100k population",223.9,"Daejeon","Jung-gu"
25030,"total","All causes","mortality",2020,"per 100k population",272,"Daejeon","Seo-gu"
25030,"male","All causes","mortality",2020,"per 100k population",347.8,"Daejeon","Seo-gu"
25030,"female","All causes","mortality",2020,"per 100k population",213.4,"Daejeon","Seo-gu"
25040,"total","All causes","mortality",2020,"per 100k population",263.4,"Daejeon","Yuseong-gu"
25040,"male","All causes","mortality",2020,"per 100k population",313,"Daejeon","Yuseong-gu"
25040,"female","All causes","mortality",2020,"per 100k population",224.4,"Daejeon","Yuseong-gu"
25050,"total","All causes","mortality",2020,"per 100k population",331.3,"Daejeon","Daedeok-gu"
25050,"male","All causes","mortality",2020,"per 100k population",451.7,"Daejeon","Daedeok-gu"
25050,"female","All causes","mortality",2020,"per 100k population",227.4,"Daejeon","Daedeok-gu"
26010,"total","All causes","mortality",2020,"per 100k population",316.5,"Ulsan","Jung-gu"
26010,"male","All causes","mortality",2020,"per 100k population",404.5,"Ulsan","Jung-gu"
26010,"female","All causes","mortality",2020,"per 100k population",239.9,"Ulsan","Jung-gu"
26020,"total","All causes","mortality",2020,"per 100k population",315.9,"Ulsan","Nam-gu"
26020,"male","All causes","mortality",2020,"per 100k population",419.7,"Ulsan","Nam-gu"
26020,"female","All causes","mortality",2020,"per 100k population",225.6,"Ulsan","Nam-gu"
26030,"total","All causes","mortality",2020,"per 100k population",310.5,"Ulsan","Dong-gu"
26030,"male","All causes","mortality",2020,"per 100k population",406.7,"Ulsan","Dong-gu"
26030,"female","All causes","mortality",2020,"per 100k population",225.5,"Ulsan","Dong-gu"
26040,"total","All causes","mortality",2020,"per 100k population",311.6,"Ulsan","Buk-gu"
26040,"male","All causes","mortality",2020,"per 100k population",409,"Ulsan","Buk-gu"
26040,"female","All causes","mortality",2020,"per 100k population",237.8,"Ulsan","Buk-gu"
26510,"total","All causes","mortality",2020,"per 100k population",324,"Ulsan","Ulju-gun"
26510,"male","All causes","mortality",2020,"per 100k population",436.1,"Ulsan","Ulju-gun"
26510,"female","All causes","mortality",2020,"per 100k population",229.1,"Ulsan","Ulju-gun"
29010,"total","All causes","mortality",2020,"per 100k population",277.4,"Sejong","Sejong-si"
29010,"male","All causes","mortality",2020,"per 100k population",372.1,"Sejong","Sejong-si"
29010,"female","All causes","mortality",2020,"per 100k population",203.9,"Sejong","Sejong-si"
31010,"total","All causes","mortality",2020,"per 100k population",291.2,"Gyeonggi-do","Suwon-si"
31010,"male","All causes","mortality",2020,"per 100k population",388,"Gyeonggi-do","Suwon-si"
31010,"female","All causes","mortality",2020,"per 100k population",211.9,"Gyeonggi-do","Suwon-si"
31011,"total","All causes","mortality",2020,"per 100k population",298.9,"Gyeonggi-do","Jangan-gu"
31011,"male","All causes","mortality",2020,"per 100k population",400,"Gyeonggi-do","Jangan-gu"
31011,"female","All causes","mortality",2020,"per 100k population",213.9,"Gyeonggi-do","Jangan-gu"
31012,"total","All causes","mortality",2020,"per 100k population",302.1,"Gyeonggi-do","Gwonseon-gu"
31012,"male","All causes","mortality",2020,"per 100k population",399.7,"Gyeonggi-do","Gwonseon-gu"
31012,"female","All causes","mortality",2020,"per 100k population",221.2,"Gyeonggi-do","Gwonseon-gu"
31013,"total","All causes","mortality",2020,"per 100k population",329.1,"Gyeonggi-do","Paldal-gu"
31013,"male","All causes","mortality",2020,"per 100k population",458.2,"Gyeonggi-do","Paldal-gu"
31013,"female","All causes","mortality",2020,"per 100k population",220.8,"Gyeonggi-do","Paldal-gu"
31014,"total","All causes","mortality",2020,"per 100k population",250.3,"Gyeonggi-do","Yeongtong-gu"
31014,"male","All causes","mortality",2020,"per 100k population",319.1,"Gyeonggi-do","Yeongtong-gu"
31014,"female","All causes","mortality",2020,"per 100k population",197.6,"Gyeonggi-do","Yeongtong-gu"
31020,"total","All causes","mortality",2020,"per 100k population",263.4,"Gyeonggi-do","Seongnam-si"
31020,"male","All causes","mortality",2020,"per 100k population",341.8,"Gyeonggi-do","Seongnam-si"
31020,"female","All causes","mortality",2020,"per 100k population",196.2,"Gyeonggi-do","Seongnam-si"
31021,"total","All causes","mortality",2020,"per 100k population",319.3,"Gyeonggi-do","Sujeong-gu"
31021,"male","All causes","mortality",2020,"per 100k population",434.4,"Gyeonggi-do","Sujeong-gu"
31021,"female","All causes","mortality",2020,"per 100k population",218.9,"Gyeonggi-do","Sujeong-gu"
31022,"total","All causes","mortality",2020,"per 100k population",312.8,"Gyeonggi-do","Jungwon-gu"
31022,"male","All causes","mortality",2020,"per 100k population",402.1,"Gyeonggi-do","Jungwon-gu"
31022,"female","All causes","mortality",2020,"per 100k population",232.9,"Gyeonggi-do","Jungwon-gu"
31023,"total","All causes","mortality",2020,"per 100k population",209.6,"Gyeonggi-do","Bundang-gu"
31023,"male","All causes","mortality",2020,"per 100k population",259.5,"Gyeonggi-do","Bundang-gu"
31023,"female","All causes","mortality",2020,"per 100k population",169.1,"Gyeonggi-do","Bundang-gu"
31030,"total","All causes","mortality",2020,"per 100k population",321.7,"Gyeonggi-do","Uijeongbu-si"
31030,"male","All causes","mortality",2020,"per 100k population",435.5,"Gyeonggi-do","Uijeongbu-si"
31030,"female","All causes","mortality",2020,"per 100k population",229,"Gyeonggi-do","Uijeongbu-si"
31040,"total","All causes","mortality",2020,"per 100k population",257.5,"Gyeonggi-do","Anyang-si"
31040,"male","All causes","mortality",2020,"per 100k population",350.7,"Gyeonggi-do","Anyang-si"
31040,"female","All causes","mortality",2020,"per 100k population",182.5,"Gyeonggi-do","Anyang-si"
31041,"total","All causes","mortality",2020,"per 100k population",291.1,"Gyeonggi-do","Manan-gu"
31041,"male","All causes","mortality",2020,"per 100k population",392.2,"Gyeonggi-do","Manan-gu"
31041,"female","All causes","mortality",2020,"per 100k population",205.9,"Gyeonggi-do","Manan-gu"
31042,"total","All causes","mortality",2020,"per 100k population",229.1,"Gyeonggi-do","Dongan-gu"
31042,"male","All causes","mortality",2020,"per 100k population",315.7,"Gyeonggi-do","Dongan-gu"
31042,"female","All causes","mortality",2020,"per 100k population",162.7,"Gyeonggi-do","Dongan-gu"
31050,"total","All causes","mortality",2020,"per 100k population",296.3,"Gyeonggi-do","Bucheon-si"
31050,"male","All causes","mortality",2020,"per 100k population",400.1,"Gyeonggi-do","Bucheon-si"
31050,"female","All causes","mortality",2020,"per 100k population",214.1,"Gyeonggi-do","Bucheon-si"
31060,"total","All causes","mortality",2020,"per 100k population",252.5,"Gyeonggi-do","Gwangmyeong-si"
31060,"male","All causes","mortality",2020,"per 100k population",339.9,"Gyeonggi-do","Gwangmyeong-si"
31060,"female","All causes","mortality",2020,"per 100k population",180.6,"Gyeonggi-do","Gwangmyeong-si"
31070,"total","All causes","mortality",2020,"per 100k population",320.9,"Gyeonggi-do","Pyeongtaek-si"
31070,"male","All causes","mortality",2020,"per 100k population",419.9,"Gyeonggi-do","Pyeongtaek-si"
31070,"female","All causes","mortality",2020,"per 100k population",236.6,"Gyeonggi-do","Pyeongtaek-si"
31080,"total","All causes","mortality",2020,"per 100k population",368,"Gyeonggi-do","Dongducheon-si"
31080,"male","All causes","mortality",2020,"per 100k population",494,"Gyeonggi-do","Dongducheon-si"
31080,"female","All causes","mortality",2020,"per 100k population",258.5,"Gyeonggi-do","Dongducheon-si"
31090,"total","All causes","mortality",2020,"per 100k population",335.6,"Gyeonggi-do","Ansan-si"
31090,"male","All causes","mortality",2020,"per 100k population",450.3,"Gyeonggi-do","Ansan-si"
31090,"female","All causes","mortality",2020,"per 100k population",240,"Gyeonggi-do","Ansan-si"
31091,"total","All causes","mortality",2020,"per 100k population",329.2,"Gyeonggi-do","Sangnok-gu"
31091,"male","All causes","mortality",2020,"per 100k population",445.3,"Gyeonggi-do","Sangnok-gu"
31091,"female","All causes","mortality",2020,"per 100k population",234.6,"Gyeonggi-do","Sangnok-gu"
31092,"total","All causes","mortality",2020,"per 100k population",343.4,"Gyeonggi-do","Danwon-gu"
31092,"male","All causes","mortality",2020,"per 100k population",456.5,"Gyeonggi-do","Danwon-gu"
31092,"female","All causes","mortality",2020,"per 100k population",247.2,"Gyeonggi-do","Danwon-gu"
31100,"total","All causes","mortality",2020,"per 100k population",258.6,"Gyeonggi-do","Goyang-si"
31100,"male","All causes","mortality",2020,"per 100k population",350.7,"Gyeonggi-do","Goyang-si"
31100,"female","All causes","mortality",2020,"per 100k population",187.1,"Gyeonggi-do","Goyang-si"
31101,"total","All causes","mortality",2020,"per 100k population",273.5,"Gyeonggi-do","Deogyang-gu"
31101,"male","All causes","mortality",2020,"per 100k population",380.7,"Gyeonggi-do","Deogyang-gu"
31101,"female","All causes","mortality",2020,"per 100k population",190.2,"Gyeonggi-do","Deogyang-gu"
31103,"total","All causes","mortality",2020,"per 100k population",260.6,"Gyeonggi-do","Ilsandong-gu"
31103,"male","All causes","mortality",2020,"per 100k population",343.6,"Gyeonggi-do","Ilsandong-gu"
31103,"female","All causes","mortality",2020,"per 100k population",196.2,"Gyeonggi-do","Ilsandong-gu"
31104,"total","All causes","mortality",2020,"per 100k population",229.1,"Gyeonggi-do","Ilsanseo-gu"
31104,"male","All causes","mortality",2020,"per 100k population",306.2,"Gyeonggi-do","Ilsanseo-gu"
31104,"female","All causes","mortality",2020,"per 100k population",170.3,"Gyeonggi-do","Ilsanseo-gu"
31110,"total","All causes","mortality",2020,"per 100k population",192.6,"Gyeonggi-do","Gwacheon-si"
31110,"male","All causes","mortality",2020,"per 100k population",224.2,"Gyeonggi-do","Gwacheon-si"
31110,"female","All causes","mortality",2020,"per 100k population",166.9,"Gyeonggi-do","Gwacheon-si"
31120,"total","All causes","mortality",2020,"per 100k population",291.1,"Gyeonggi-do","Guri-si"
31120,"male","All causes","mortality",2020,"per 100k population",396.1,"Gyeonggi-do","Guri-si"
31120,"female","All causes","mortality",2020,"per 100k population",202,"Gyeonggi-do","Guri-si"
31130,"total","All causes","mortality",2020,"per 100k population",294.3,"Gyeonggi-do","Namyangju-si"
31130,"male","All causes","mortality",2020,"per 100k population",387.8,"Gyeonggi-do","Namyangju-si"
31130,"female","All causes","mortality",2020,"per 100k population",215.9,"Gyeonggi-do","Namyangju-si"
31140,"total","All causes","mortality",2020,"per 100k population",302.2,"Gyeonggi-do","Osan-si"
31140,"male","All causes","mortality",2020,"per 100k population",409.7,"Gyeonggi-do","Osan-si"
31140,"female","All causes","mortality",2020,"per 100k population",217,"Gyeonggi-do","Osan-si"
